"ItemId","ItemName","Brand","Model","Detail","SaleLimit","IsActive","CatId","FxSalePrice","UKey","Unt","CStk","CCost","RetailPrice","ItmDisc","QtyBelow","MinPrice","QtyUpTo"
"PaIcBQ24296","Parts/tool","Ic","BQ24296","","0","false","1","450",,"Pc","0","0","650","0","10","0","50"
"PaIcBQ25601","Parts/tool","Ic","BQ25601","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcBQ25601D","Parts/tool","Ic","BQ25601D","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcBQ25910","Parts/tool","Ic","BQ25910","","0","false","1","600",,"Pc","0","0","800","0","10","0","50"
"PaIcD6","Parts/tool","Ic","D6","","0","false","1","450",,"Pc","0","0","650","0","10","0","50"
"PaIcD8","Parts/tool","Ic","D8","","0","false","1","450",,"Pc","0","0","650","0","10","0","50"
"PaIcLM36272","Parts/tool","Ic","LM36272","","0","false","1","600",,"Pc","0","0","750","0","10","0","50"
"PaIcLM36274","Parts/tool","Ic","LM36274","","0","false","1","600",,"Pc","0","0","0","0","10","0","50"
"PaIcLUBIC","Parts/tool","Ic","LUB IC","","0","false","1","200",,"Pc","0","0","300","0","10","0","50"
"PaIcMT6357CRV","Parts/tool","Ic","MT6357CRV","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcMT6357MRV","Parts/tool","Ic","MT6357MRV","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcMT6358W","Parts/tool","Ic","MT6358W","","0","false","1","600",,"Pc","0","0","800","0","10","0","50"
"PaIcMT6360UP","Parts/tool","Ic","MT6360UP","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcMT6371P","Parts/tool","Ic","MT 6371P","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcPM325","Parts/tool","Ic","PM325","","0","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaIcPM6125001","Parts/tool","Ic","PM 6125 001","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcPM6150A","Parts/tool","Ic","PM6150A","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcPM6250001","Parts/tool","Ic","PM6250 001","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcPM7150102","Parts/tool","Ic","PM7150 102","","0","false","1","500",,"Pc","0","0","700","0","10","0","50"
"PaIcPM7325","Parts/tool","Ic","PM 7325","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcPM8940","Parts/tool","Ic","PM 8940","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcPM8953","Parts/tool","Ic","PM8953","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcPMD6826","Parts/tool","Ic","PMD 6826","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcPMD9645","Parts/tool","Ic","PMD 9645","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcPMD9655","Parts/tool","Ic","PMD 9655","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcPMI632502","Parts/tool","Ic","PMI 632 502","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcPMI632602","Parts/tool","Ic","PMI 632 602","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcPMI632802","Parts/tool","Ic","PMI 632 802","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcPMI6329000","Parts/tool","Ic","PMI 632 9000","","0","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaIcPMI632902","Parts/tool","Ic","PMI 632 902","","2","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcPMI8940","Parts/tool","Ic","PMI 8940","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcS2MU004XC","Parts/tool","Ic","S2MU004XC","","0","false","1","500",,"Pc","0","0","700","0","10","0","50"
"PaIcS2MU005X03","Parts/tool","Ic","S2MU005X03","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcS2MU005XO3","Parts/tool","Ic","S2MU005XO3","","0","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaIcS2MU106X01N","Parts/tool","Ic","S2MU106X01NEW","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcSGM41511","Parts/tool","Ic","SGM41511","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcSM5414W","Parts/tool","Ic","SM5414W","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcSM5451","Parts/tool","Ic","SM5451","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcSM5701","Parts/tool","Ic","SM 5701","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcSM5703","Parts/tool","Ic","SM 5703","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcSM5703A","Parts/tool","Ic","SM 5703A","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIcSM5705","Parts/tool","Ic","SM5705","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcSM5708","Parts/tool","Ic","SM5708","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcSM5713","Parts/tool","Ic","SM5713","","0","false","1","500",,"Pc","0","0","700","0","10","0","50"
"PaIcSM5714","Parts/tool","Ic","SM5714","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcSM5720","Parts/tool","Ic","SM5720","","0","false","1","500",,"Pc","0","0","700","0","10","0","50"
"PaIcSMB1351022","Parts/tool","Ic","SMB 1351 022","","0","false","1","600",,"Pc","0","0","800","0","10","0","50"
